county_FIPS,NAME,Percent_Uninsured,Year
0500000US28089,"Madison County, Mississippi",12.6,2010
0500000US28121,"Rankin County, Mississippi",16.1,2010
0500000US29019,"Boone County, Missouri",10.1,2010
0500000US29021,"Buchanan County, Missouri",11.1,2010
0500000US29031,"Cape Girardeau County, Missouri",13.5,2010
0500000US29037,"Cass County, Missouri",10.9,2010
0500000US29043,"Christian County, Missouri",13.4,2010
0500000US29047,"Clay County, Missouri",8.6,2010
0500000US29051,"Cole County, Missouri",7.3,2010
0500000US29071,"Franklin County, Missouri",12.8,2010
0500000US29077,"Greene County, Missouri",15.2,2010
0500000US29095,"Jackson County, Missouri",17.0,2010
0500000US29097,"Jasper County, Missouri",19.6,2010
0500000US29099,"Jefferson County, Missouri",12.6,2010
0500000US29165,"Platte County, Missouri",7.0,2010
0500000US29183,"St. Charles County, Missouri",7.5,2010
0500000US29187,"St. Francois County, Missouri",13.1,2010
0500000US29189,"St. Louis County, Missouri",9.6,2010
0500000US29510,"St. Louis city, Missouri",19.0,2010
0500000US30013,"Cascade County, Montana",14.6,2010
0500000US30029,"Flathead County, Montana",20.8,2010
0500000US30031,"Gallatin County, Montana",11.8,2010
0500000US30063,"Missoula County, Montana",17.4,2010
0500000US30111,"Yellowstone County, Montana",14.8,2010
0500000US31055,"Douglas County, Nebraska",13.2,2010
0500000US31109,"Lancaster County, Nebraska",10.0,2010
0500000US31153,"Sarpy County, Nebraska",7.2,2010
0500000US32003,"Clark County, Nevada",23.1,2010
0500000US32031,"Washoe County, Nevada",22.3,2010
0500000US33005,"Cheshire County, New Hampshire",13.5,2010
0500000US33009,"Grafton County, New Hampshire",11.4,2010
0500000US33011,"Hillsborough County, New Hampshire",9.4,2010
0500000US33013,"Merrimack County, New Hampshire",10.7,2010
0500000US33015,"Rockingham County, New Hampshire",9.8,2010
0500000US33017,"Strafford County, New Hampshire",14.5,2010
0500000US34001,"Atlantic County, New Jersey",11.7,2010
0500000US34003,"Bergen County, New Jersey",13.4,2010
0500000US34005,"Burlington County, New Jersey",7.4,2010
0500000US34007,"Camden County, New Jersey",12.4,2010
0500000US34009,"Cape May County, New Jersey",12.2,2010
0500000US34011,"Cumberland County, New Jersey",18.7,2010
0500000US34013,"Essex County, New Jersey",18.2,2010
0500000US34015,"Gloucester County, New Jersey",9.1,2010
0500000US34017,"Hudson County, New Jersey",22.7,2010
0500000US34019,"Hunterdon County, New Jersey",5.7,2010
0500000US34021,"Mercer County, New Jersey",12.1,2010
0500000US34023,"Middlesex County, New Jersey",13.6,2010
0500000US34025,"Monmouth County, New Jersey",9.7,2010
0500000US34027,"Morris County, New Jersey",9.0,2010
0500000US34029,"Ocean County, New Jersey",9.2,2010
0500000US34031,"Passaic County, New Jersey",18.3,2010
0500000US34033,"Salem County, New Jersey",9.8,2010
0500000US34035,"Somerset County, New Jersey",8.9,2010
0500000US34037,"Sussex County, New Jersey",8.4,2010
0500000US34039,"Union County, New Jersey",16.8,2010
